EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
85,2023-06-13 17:06:41,0:00:00.635651,00:01:13,798.9496256510416,1109.8170166015625,12662.0,11606.0,10.9,219.18,67.0
86,2023-06-13 17:06:42,0:00:00.625207,00:01:14,1323.2105712890625,1107.8048095703125,12662.0,11606.0,10.9,216.96,67.0
87,2023-06-13 17:06:42,0:00:00.572216,00:01:15,1084.242431640625,1101.024169921875,12662.0,11606.0,10.9,224.87,67.0
88,2023-06-13 17:06:43,0:00:00.662363,00:01:16,765.6617736816406,1095.757080078125,12662.0,11606.0,10.9,219.22,67.0
89,2023-06-13 17:06:44,0:00:00.665997,00:01:16,702.5721079508463,1093.2244873046875,12662.0,11606.0,10.9,218.83,66.0
90,2023-06-13 17:06:45,0:00:00.650658,00:01:17,710.6908925374349,1091.8900146484375,12662.0,11606.0,10.9,219.22,66.0
91,2023-06-13 17:06:46,0:00:00.635975,00:01:18,889.6012776692709,1091.3072509765625,12662.0,11606.0,10.9,217.44,67.0
92,2023-06-13 17:06:46,0:00:00.597358,00:01:19,957.63330078125,1091.59375,12662.0,11606.0,10.9,224.13,67.0
93,2023-06-13 17:06:47,0:00:00.688746,00:01:20,1044.7564900716145,1098.969970703125,12662.0,11606.0,10.9,217.43,67.0
94,2023-06-13 17:06:48,0:00:00.617546,00:01:20,922.33935546875,1118.0989990234375,12662.0,11606.0,10.9,218.33,66.0
95,2023-06-13 17:06:49,0:00:00.630846,00:01:21,784.313486735026,1130.6185302734375,12662.0,11606.0,10.9,218.17,67.0
96,2023-06-13 17:06:49,0:00:00.642890,00:01:22,1333.2703857421875,1148.08984375,12662.0,11606.0,10.9,219.87,67.0
97,2023-06-13 17:06:50,0:00:00.634970,00:01:23,794.6457926432291,1190.903564453125,12662.0,11606.0,10.9,219.56,67.0
98,2023-06-13 17:06:51,0:00:00.628040,00:01:23,659.4614181518555,1234.95068359375,12662.0,11606.0,10.9,220.25,67.0
99,2023-06-13 17:06:52,0:00:00.692125,00:01:24,807.4444376627604,1255.16455078125,12662.0,11606.0,10.9,218.37,67.0
100,2023-06-13 17:06:53,0:00:00.660481,00:01:25,667.9851811726888,1246.8692626953125,12662.0,11606.0,10.9,218.69,67.0
101,2023-06-13 17:06:55,0:00:00.694586,00:01:28,772.303456624349,1231.3756103515625,12662.0,11606.0,10.9,183.55,66.0
102,2023-06-13 17:06:56,0:00:00.642869,00:01:28,717.7043050130209,1214.5679931640625,12662.0,11606.0,10.9,217.68,67.0
103,2023-06-13 17:06:57,0:00:00.600704,00:01:29,834.3446044921875,1197.162353515625,12662.0,11606.0,10.9,219.09,67.0
104,2023-06-13 17:06:57,0:00:00.676392,00:01:30,682.9527740478516,1190.464599609375,12662.0,11606.0,10.9,220.36,67.0
105,2023-06-13 17:06:58,0:00:00.636980,00:01:31,720.7451782226562,1180.9111328125,12662.0,11606.0,10.9,219.24,67.0
106,2023-06-13 17:06:59,0:00:00.655151,00:01:32,923.7484334309896,1171.5296630859375,12662.0,11606.0,10.9,219.20,67.0
